small asm cpp
1 2311365 700875
2 17758510 1076164
4 17927506 1241084
8 26808425 2307585
16 3587045 4130261
32 6761039 7225785
64 24238445 12940690
1 2217250 681485
2 20803265 963394
4 18347366 1253840
8 88298089 2204860
16 3625895 3542315
32 7563516 6747615
64 13733650 13384812
1 2191700 10906159
2 24227821 906640
4 60090730 1148140
8 68068929 2177840
16 3247195 3735041
32 7218995 6959874
64 13623941 12546835
1 2187780 882268
2 14965573 963095
4 27607755 1502060
8 13545229 2114455
16 3565800 3478211
32 9883580 6329890
64 13625850 13535340
1 2231845 689325
2 22672510 850115
4 18422129 1211000
8 14392891 11410229
16 3498320 3606680
32 6783455 6060915
64 14582871 12346495
medium asm cpp
1 13786586 12275935
2 150695284 4391345
4 493305225 4531730
8 613156617 4617953
16 562223391 7835870
32 829673794 9709821
64 436681929 16686495
1 18263121 3578470
2 142261474 6355981
4 128247579 4076765
8 129432660 4666060
16 1248001148 7411472
32 656950070 10295126
64 326414744 17559726
1 14675061 5036815
2 143074270 2997969
4 252248115 4293813
8 624604982 4002705
16 640647663 7630333
32 905339627 10836788
64 443333642 17909833
1 14544441 4949665
2 131551439 4080001
4 289335814 2672740
8 372032185 4772476
16 1114020654 7398965
32 423476741 8490739
64 605995336 17492529
1 14612586 4640564
2 145609380 4577946
4 262400759 4454310
8 751681665 3356220
16 1253012931 9005850
32 763943925 9073444
64 365279530 16344911
large asm cpp
1 90943020 28914986
2 1181031985 21649880
4 3099318479 18688775
8 6438098441 18112614
16 4714108523 18395197
32 2069200455 21472535
64 3626735506 26679520
1 117912149 20561326
2 1194006434 20470536
4 1660834404 17357480
8 818591865 15584415
16 2116103307 18053346
32 7264574122 19576321
64 6716225012 25944602
1 95898234 27236701
2 1127436959 20898621
4 2454868230 16978509
8 3217035911 15824349
16 7895164503 23496947
32 4259735933 45913648
64 5653409405 22913993
1 90523319 28623506
2 1053791814 20745531
4 3193702489 18246550
8 817500075 16799176
16 5797549747 18583898
32 4743860170 19613984
64 4697997061 25466439
1 87978520 28077156
2 978913899 21499345
4 876630176 17984559
8 3224513005 17977241
16 8448045522 13856073
32 5436139836 24826069
64 7440386055 31270435

